type,file,measure,value
neo4j,BPIC17i,filter on object types (Time),0.5079281330108643
neo4j,BPIC17i,filter on object types and time,0
neo4j,BPIC17i,filter on object types and time (Time),0.08295917510986328
neo4j,BPIC17i,filter on objects,0
neo4j,BPIC17i,filter on objects (Time),0.09229183197021484
neo4j,BPIC17i,filter on objects and time,0
neo4j,BPIC17i,filter on objects and time (Time),0.10528826713562012
neo4j,BPIC19i,number of logs,1
neo4j,BPIC19i,number of logs (Time),0.0252532958984375
neo4j,BPIC19i,number of events,1595923
neo4j,BPIC19i,number of events (Time),0.018491744995117188
neo4j,BPIC19i,number of df,5653917
neo4j,BPIC19i,number of df (Time),0.02822422981262207
neo4j,BPIC19i,number of activities,42
neo4j,BPIC19i,number of activities (Time),0.027141571044921875
neo4j,BPIC19i,number of objects,330685
neo4j,BPIC19i,number of objects (Time),2.827360153198242
neo4j,BPIC19i,number of observed,1595923
neo4j,BPIC19i,number of observed (Time),0.015296459197998047
neo4j,BPIC19i,number of corr,5984602
neo4j,BPIC19i,number of corr (Time),7.9942467212677
neo4j,BPIC19i,filter on event time,0
neo4j,BPIC19i,filter on event time (Time),0.1684272289276123
neo4j,BPIC19i,filter on object types,0
neo4j,BPIC19i,filter on object types (Time),0.7922573089599609
neo4j,BPIC19i,filter on object types and time,0
neo4j,BPIC19i,filter on object types and time (Time),0.08239626884460449
neo4j,BPIC19i,filter on objects,0
neo4j,BPIC19i,filter on objects (Time),0.0723578929901123
neo4j,BPIC19i,filter on objects and time,0
neo4j,BPIC19i,filter on objects and time (Time),0.09758710861206055
neo4j,BPIC14i,number of logs,1
neo4j,BPIC14i,number of logs (Time),0.028321266174316406
neo4j,BPIC14i,number of events,690622
neo4j,BPIC14i,number of events (Time),0.02116250991821289
neo4j,BPIC14i,number of df,2503328
neo4j,BPIC14i,number of df (Time),0.026227235794067383
neo4j,BPIC14i,number of activities,330
neo4j,BPIC14i,number of activities (Time),0.012640714645385742
neo4j,BPIC14i,number of objects,228885
neo4j,BPIC14i,number of objects (Time),2.1565144062042236
neo4j,BPIC14i,number of observed,690622
neo4j,BPIC14i,number of observed (Time),0.01630258560180664
neo4j,BPIC14i,number of corr,2732213
neo4j,BPIC14i,number of corr (Time),2.8125548362731934
neo4j,BPIC14i,filter on event time,0
neo4j,BPIC14i,filter on event time (Time),0.15871739387512207
neo4j,BPIC14i,filter on object types,0
neo4j,BPIC14i,filter on object types (Time),0.4468724727630615
neo4j,BPIC14i,filter on object types and time,0
neo4j,BPIC14i,filter on object types and time (Time),0.06659650802612305
neo4j,BPIC14i,filter on objects,0
neo4j,BPIC14i,filter on objects (Time),0.06569266319274902
neo4j,BPIC14i,filter on objects and time,0
neo4j,BPIC14i,filter on objects and time (Time),0.08288168907165527
